period,entity,region,department,actual_ending_headcount,budget_ending_headcount,headcount_variance,actual_payroll_cost,budget_payroll_cost,payroll_variance
2023-12,Canada,West,G&A,7,7.0,0.0,62208.87,65781.84,-3572.97
2023-12,Canada,West,Marketing,9,9.13,-0.13,66876.23,64298.85,2577.38
2023-12,Canada,West,Operations,19,19.17,-0.17,160450.28,170915.58,-10465.3
2023-12,Canada,West,Sales,15,15.42,-0.42,119568.22,116830.86,2737.36
2023-12,Canada,West,Technology,12,12.35,-0.35,66966.95,71241.63,-4274.68
2023-12,UK,Central,G&A,4,4.17,-0.17,24404.58,24500.78,-96.2
2023-12,UK,Central,Marketing,6,6.33,-0.33,39366.85,40282.08,-915.23
2023-12,UK,Central,Operations,15,15.15,-0.15,104484.19,108297.88,-3813.69
2023-12,UK,Central,Sales,11,10.85,0.15,89470.92,90121.61,-650.69
2023-12,UK,Central,Technology,8,8.7,-0.7,58199.72,58539.49,-339.77
2023-12,UK,East,G&A,4,4.14,-0.14,25046.7,26603.85,-1557.15
2023-12,UK,East,Marketing,6,6.2,-0.2,39259.85,39501.62,-241.77
2023-12,UK,East,Operations,13,13.53,-0.53,101327.72,104940.23,-3612.51
2023-12,UK,East,Sales,11,11.93,-0.93,93276.74,95694.54,-2417.8
2023-12,UK,East,Technology,8,8.36,-0.36,55234.32,55555.8,-321.48
2023-12,UK,International,G&A,3,3.12,-0.12,20286.47,20639.02,-352.55
2023-12,UK,International,Marketing,5,5.01,-0.01,38156.04,37233.24,922.8
2023-12,UK,International,Operations,11,11.55,-0.55,80039.5,86124.84,-6085.34
2023-12,UK,International,Sales,8,7.69,0.31,65737.19,63214.58,2522.61
2023-12,UK,International,Technology,7,7.12,-0.12,51598.95,53302.06,-1703.11
2023-12,UK,West,G&A,5,5.31,-0.31,36075.18,37850.82,-1775.64
2023-12,UK,West,Marketing,7,7.27,-0.27,46276.0,48539.07,-2263.07
2023-12,UK,West,Operations,16,16.72,-0.72,112498.6,112082.4,416.2
2023-12,UK,West,Sales,11,11.24,-0.24,73983.14,74536.1,-552.96
2023-12,UK,West,Technology,10,10.5,-0.5,74001.49,77054.23,-3052.74
2023-12,USA,Central,G&A,7,7.4,-0.4,56264.5,58207.52,-1943.02
2023-12,USA,Central,Marketing,10,10.24,-0.24,57924.64,59403.78,-1479.14
2023-12,USA,Central,Operations,23,23.64,-0.64,173405.16,175438.08,-2032.92
2023-12,USA,Central,Sales,16,16.0,0.0,125259.49,129343.05,-4083.56
2023-12,USA,Central,Technology,14,14.08,-0.08,99394.86,105754.31,-6359.45
2023-12,USA,East,G&A,7,7.1,-0.1,55800.94,55329.86,471.08
2023-12,USA,East,Marketing,8,8.43,-0.43,52337.99,53002.06,-664.07
2023-12,USA,East,Operations,22,24.68,-2.68,149981.18,147973.13,2008.05
2023-12,USA,East,Sales,16,16.96,-0.96,114272.32,116930.99,-2658.67
2023-12,USA,East,Technology,15,14.87,0.13,78607.31,78410.32,196.99
2023-12,USA,International,G&A,5,5.29,-0.29,37419.74,39938.62,-2518.88
2023-12,USA,International,Marketing,8,8.2,-0.2,49997.92,53735.2,-3737.28
2023-12,USA,International,Operations,17,17.63,-0.63,134789.62,140557.35,-5767.73
2023-12,USA,International,Sales,13,13.43,-0.43,98317.09,95941.11,2375.98
2023-12,USA,International,Technology,12,11.93,0.07,82143.09,82494.08,-350.99
2023-12,USA,West,G&A,8,8.03,-0.03,42172.42,43076.39,-903.97
2023-12,USA,West,Marketing,11,11.32,-0.32,77054.52,78551.99,-1497.47
2023-12,USA,West,Operations,25,25.66,-0.66,201397.98,209541.82,-8143.84
2023-12,USA,West,Sales,19,19.42,-0.42,131550.36,144596.16,-13045.8
2023-12,USA,West,Technology,16,16.46,-0.46,95748.52,99991.71,-4243.19
2024-01,Canada,Central,G&A,5,5.3,-0.3,39456.53,41235.72,-1779.19
2024-01,Canada,Central,Marketing,7,7.21,-0.21,48697.16,48083.85,613.31
2024-01,Canada,Central,Operations,16,16.12,-0.12,87118.63,89767.44,-2648.81
2024-01,Canada,Central,Sales,12,12.82,-0.82,102690.03,103608.26,-918.23
2024-01,Canada,Central,Technology,10,10.15,-0.15,76467.12,79902.67,-3435.55
2024-01,Canada,East,G&A,5,5.07,-0.07,32336.68,34165.47,-1828.79
2024-01,Canada,East,Marketing,8,8.29,-0.29,46300.63,46405.63,-105.0
2024-01,Canada,East,Operations,16,16.18,-0.18,132801.77,135178.48,-2376.71
2024-01,Canada,East,Sales,12,13.12,-1.12,95590.12,97346.32,-1756.2
2024-01,Canada,East,Technology,10,10.05,-0.05,66792.14,69817.02,-3024.88
2024-01,Canada,International,G&A,4,4.24,-0.24,32045.83,30977.36,1068.47
2024-01,Canada,International,Marketing,6,6.29,-0.29,35571.47,38036.66,-2465.19
2024-01,Canada,International,Operations,13,13.94,-0.94,92018.98,98384.77,-6365.79
2024-01,Canada,International,Sales,10,10.48,-0.48,86891.71,90545.29,-3653.58
2024-01,Canada,International,Technology,8,8.76,-0.76,51358.14,54192.32,-2834.18
2024-01,Canada,West,G&A,6,5.95,0.05,44176.92,43448.41,728.51
2024-01,Canada,West,Marketing,9,9.1,-0.1,63754.45,62404.47,1349.98
2024-01,Canada,West,Operations,19,19.24,-0.24,116233.98,127619.85,-11385.87
2024-01,Canada,West,Sales,15,15.32,-0.32,86739.12,90462.01,-3722.89
2024-01,Canada,West,Technology,11,11.58,-0.58,59689.86,62405.59,-2715.73
2024-01,UK,Central,G&A,4,4.19,-0.19,31712.6,32198.3,-485.7
2024-01,UK,Central,Marketing,6,6.27,-0.27,42229.44,40186.76,2042.68
2024-01,UK,Central,Operations,14,15.04,-1.04,122163.5,129470.59,-7307.09
2024-01,UK,Central,Sales,11,11.32,-0.32,75292.67,77006.55,-1713.88
2024-01,UK,Central,Technology,9,9.1,-0.1,61613.52,63758.51,-2144.99
2024-01,UK,East,G&A,4,3.9,0.1,32525.28,33786.83,-1261.55
2024-01,UK,East,Marketing,6,6.29,-0.29,46961.81,46178.01,783.8
2024-01,UK,East,Operations,12,13.02,-1.02,102118.42,105690.7,-3572.28
2024-01,UK,East,Sales,10,9.84,0.16,82010.94,88587.22,-6576.28
2024-01,UK,East,Technology,9,9.26,-0.26,59378.13,62825.43,-3447.3
2024-01,UK,International,G&A,3,3.0,0.0,21585.61,22528.69,-943.08
2024-01,UK,International,Marketing,5,5.04,-0.04,36762.93,37059.71,-296.78
2024-01,UK,International,Operations,11,11.8,-0.8,89125.54,91221.13,-2095.59
2024-01,UK,International,Sales,9,9.56,-0.56,79561.38,82939.7,-3378.32
2024-01,UK,International,Technology,7,7.48,-0.48,49866.57,52146.27,-2279.7
2024-01,UK,West,G&A,5,5.14,-0.14,37557.15,40335.17,-2778.02
2024-01,UK,West,Marketing,7,7.17,-0.17,53695.91,54315.46,-619.55
2024-01,UK,West,Operations,16,16.09,-0.09,125574.58,132550.35,-6975.77
2024-01,UK,West,Sales,12,12.39,-0.39,100366.0,101764.92,-1398.92
2024-01,UK,West,Technology,10,9.85,0.15,80955.16,86805.9,-5850.74
2024-01,USA,Central,G&A,6,6.12,-0.12,37325.16,37563.72,-238.56
2024-01,USA,Central,Marketing,10,10.4,-0.4,95285.44,104802.38,-9516.94
2024-01,USA,Central,Operations,22,22.09,-0.09,148062.98,143437.78,4625.2
2024-01,USA,Central,Sales,17,17.44,-0.44,108548.36,109265.06,-716.7
2024-01,USA,Central,Technology,14,14.1,-0.1,106289.61,112789.53,-6499.92
2024-01,USA,East,G&A,7,7.0,0.0,44158.61,45492.56,-1333.95
2024-01,USA,East,Marketing,9,9.23,-0.23,63171.03,67269.34,-4098.31
2024-01,USA,East,Operations,22,22.6,-0.6,145007.98,140690.63,4317.35
2024-01,USA,East,Sales,15,15.94,-0.94,119747.41,126323.78,-6576.37
2024-01,USA,East,Technology,14,14.81,-0.81,104829.77,107619.61,-2789.84
2024-01,USA,International,G&A,5,5.14,-0.14,38218.89,41170.61,-2951.72
2024-01,USA,International,Marketing,8,7.91,0.09,53164.08,55244.86,-2080.78
2024-01,USA,International,Operations,18,19.45,-1.45,144920.16,151654.28,-6734.12
2024-01,USA,International,Sales,13,13.81,-0.81,95804.75,100715.02,-4910.27
2024-01,USA,International,Technology,12,12.45,-0.45,96241.63,96132.63,109.0
2024-01,USA,West,G&A,8,8.13,-0.13,58095.0,59426.57,-1331.57
2024-01,USA,West,Marketing,11,12.17,-1.17,71854.8,74247.22,-2392.42
2024-01,USA,West,Operations,26,26.7,-0.7,166918.46,163651.06,3267.4
2024-01,USA,West,Sales,20,19.9,0.1,122751.03,123457.94,-706.91
2024-01,USA,West,Technology,16,16.44,-0.44,127048.93,131911.69,-4862.76
2024-02,Canada,Central,G&A,6,5.7,0.3,40343.27,41244.86,-901.59
2024-02,Canada,Central,Marketing,7,7.32,-0.32,54098.37,55109.88,-1011.51
2024-02,Canada,Central,Operations,17,16.68,0.32,159473.52,160194.07,-720.55
2024-02,Canada,Central,Sales,12,12.41,-0.41,87910.11,88690.15,-780.04
2024-02,Canada,Central,Technology,10,10.22,-0.22,70392.76,71393.14,-1000.38
2024-02,Canada,East,G&A,5,5.06,-0.06,30992.56,32865.51,-1872.95
2024-02,Canada,East,Marketing,7,7.16,-0.16,50247.72,50087.41,160.31
2024-02,Canada,East,Operations,15,15.77,-0.77,113405.83,117566.02,-4160.19
2024-02,Canada,East,Sales,13,13.48,-0.48,81449.56,84321.93,-2872.37
2024-02,Canada,East,Technology,10,10.25,-0.25,75854.29,79967.85,-4113.56
2024-02,Canada,International,G&A,4,4.15,-0.15,25986.38,28428.44,-2442.06
2024-02,Canada,International,Marketing,6,6.05,-0.05,36935.89,37662.87,-726.98
2024-02,Canada,International,Operations,14,13.96,0.04,95016.54,98296.2,-3279.66
2024-02,Canada,International,Sales,10,9.83,0.17,62465.21,60103.53,2361.68
2024-02,Canada,International,Technology,8,8.27,-0.27,59147.03,60655.3,-1508.27
2024-02,Canada,West,G&A,6,6.13,-0.13,34496.73,33790.88,705.85
2024-02,Canada,West,Marketing,8,7.99,0.01,69724.6,74353.87,-4629.27
2024-02,Canada,West,Operations,20,21.76,-1.76,178647.22,190196.53,-11549.31
2024-02,Canada,West,Sales,13,13.72,-0.72,79622.2,80293.03,-670.83
2024-02,Canada,West,Technology,12,12.13,-0.13,89634.82,92592.27,-2957.45
2024-02,UK,Central,G&A,4,4.14,-0.14,32572.26,32746.61,-174.35
2024-02,UK,Central,Marketing,6,5.98,0.02,44875.01,46964.48,-2089.47
2024-02,UK,Central,Operations,14,14.71,-0.71,118720.46,123726.93,-5006.47
2024-02,UK,Central,Sales,11,11.64,-0.64,107817.37,113165.89,-5348.52
2024-02,UK,Central,Technology,9,9.56,-0.56,72528.73,72923.73,-395.0
2024-02,UK,East,G&A,4,4.15,-0.15,23982.01,22925.63,1056.38
2024-02,UK,East,Marketing,6,6.23,-0.23,38342.06,38638.2,-296.14
2024-02,UK,East,Operations,13,14.1,-1.1,92278.25,89955.35,2322.9
2024-02,UK,East,Sales,10,10.92,-0.92,68689.23,71377.95,-2688.72
2024-02,UK,East,Technology,8,8.05,-0.05,46980.36,49156.2,-2175.84
2024-02,UK,International,G&A,4,3.93,0.07,30112.96,30181.49,-68.53
2024-02,UK,International,Marketing,5,5.08,-0.08,28561.79,29426.37,-864.58
2024-02,UK,International,Operations,11,11.54,-0.54,79825.62,78911.46,914.16
2024-02,UK,International,Sales,8,8.01,-0.01,73574.95,75049.45,-1474.5
2024-02,UK,International,Technology,7,7.14,-0.14,53972.24,53427.77,544.47
2024-02,UK,West,G&A,5,5.23,-0.23,37398.77,40247.5,-2848.73
2024-02,UK,West,Marketing,7,7.39,-0.39,45057.18,48077.75,-3020.57
2024-02,UK,West,Operations,17,17.45,-0.45,117173.24,122048.16,-4874.92
2024-02,UK,West,Sales,11,11.59,-0.59,79166.76,82018.52,-2851.76
2024-02,UK,West,Technology,10,9.87,0.13,81059.62,88901.38,-7841.76
2024-02,USA,Central,G&A,7,7.44,-0.44,45281.44,47008.73,-1727.29
2024-02,USA,Central,Marketing,9,9.4,-0.4,51929.18,54660.23,-2731.05
2024-02,USA,Central,Operations,21,21.92,-0.92,150358.1,161056.65,-10698.55
2024-02,USA,Central,Sales,16,17.01,-1.01,118237.34,121549.67,-3312.33
2024-02,USA,Central,Technology,14,14.4,-0.4,135363.22,136635.01,-1271.79
2024-02,USA,East,G&A,7,6.92,0.08,63088.92,64405.96,-1317.04
2024-02,USA,East,Marketing,9,9.44,-0.44,60251.05,57352.25,2898.8
2024-02,USA,East,Operations,19,19.19,-0.19,134013.45,137044.87,-3031.42
2024-02,USA,East,Sales,16,16.0,0.0,129726.18,139399.04,-9672.86
2024-02,USA,East,Technology,13,13.47,-0.47,96551.11,100175.45,-3624.34
2024-02,USA,International,G&A,6,6.33,-0.33,38787.68,41295.38,-2507.7
2024-02,USA,International,Marketing,7,7.46,-0.46,55122.37,60197.84,-5075.47
2024-02,USA,International,Operations,18,20.04,-2.04,133519.02,139862.77,-6343.75
2024-02,USA,International,Sales,14,14.59,-0.59,100396.56,107114.54,-6717.98
2024-02,USA,International,Technology,12,11.69,0.31,102450.52,108303.21,-5852.69
2024-02,USA,West,G&A,8,7.95,0.05,59218.68,59299.57,-80.89
2024-02,USA,West,Marketing,11,11.67,-0.67,82452.49,84156.47,-1703.98
2024-02,USA,West,Operations,26,26.41,-0.41,182176.15,186655.23,-4479.08
2024-02,USA,West,Sales,19,19.56,-0.56,170934.2,182024.62,-11090.42
2024-02,USA,West,Technology,16,16.94,-0.94,128722.02,131735.65,-3013.63
2024-03,Canada,Central,G&A,5,4.97,0.03,35747.61,36821.08,-1073.47
2024-03,Canada,Central,Marketing,8,7.87,0.13,53237.07,55820.35,-2583.28
2024-03,Canada,Central,Operations,17,17.62,-0.62,99282.85,108621.0,-9338.15
2024-03,Canada,Central,Sales,13,13.86,-0.86,109201.24,112028.1,-2826.86
2024-03,Canada,Central,Technology,10,10.73,-0.73,58114.6,60400.68,-2286.08
2024-03,Canada,East,G&A,5,5.0,0.0,33210.58,32811.34,399.24
2024-03,Canada,East,Marketing,7,7.27,-0.27,52458.03,56692.34,-4234.31
2024-03,Canada,East,Operations,16,16.01,-0.01,124721.07,129718.89,-4997.82
2024-03,Canada,East,Sales,12,12.27,-0.27,89184.91,89339.82,-154.91
2024-03,Canada,East,Technology,10,10.48,-0.48,72957.92,80430.81,-7472.89
2024-03,Canada,International,G&A,4,4.05,-0.05,26217.01,27684.21,-1467.2
2024-03,Canada,International,Marketing,6,6.21,-0.21,42186.97,41684.04,502.93
2024-03,Canada,International,Operations,13,13.78,-0.78,82784.42,86795.04,-4010.62
2024-03,Canada,International,Sales,9,9.3,-0.3,72865.85,74228.3,-1362.45
2024-03,Canada,International,Technology,9,9.1,-0.1,72388.13,76572.33,-4184.2
2024-03,Canada,West,G&A,5,5.35,-0.35,32421.71,33744.88,-1323.17
2024-03,Canada,West,Marketing,8,8.56,-0.56,61684.6,62247.14,-562.54
2024-03,Canada,West,Operations,19,20.5,-1.5,131235.3,131956.27,-720.97
2024-03,Canada,West,Sales,14,15.39,-1.39,121086.96,121609.73,-522.77
2024-03,Canada,West,Technology,11,11.08,-0.08,78139.44,81837.12,-3697.68
2024-03,UK,Central,G&A,5,5.29,-0.29,36145.92,37309.8,-1163.88
2024-03,UK,Central,Marketing,6,6.47,-0.47,33917.89,32724.0,1193.89
2024-03,UK,Central,Operations,14,14.09,-0.09,119606.89,122155.67,-2548.78
2024-03,UK,Central,Sales,11,10.94,0.06,51911.02,56008.7,-4097.68
2024-03,UK,Central,Technology,9,9.4,-0.4,63080.9,64627.13,-1546.23
2024-03,UK,East,G&A,4,3.82,0.18,28908.97,29628.34,-719.37
2024-03,UK,East,Marketing,6,6.16,-0.16,43194.22,44865.54,-1671.32
2024-03,UK,East,Operations,14,14.25,-0.25,91709.85,95447.83,-3737.98
2024-03,UK,East,Sales,11,11.05,-0.05,84020.26,85634.89,-1614.63
2024-03,UK,East,Technology,8,8.02,-0.02,52039.91,55975.96,-3936.05
2024-03,UK,International,G&A,3,3.16,-0.16,23931.73,25240.82,-1309.09
2024-03,UK,International,Marketing,5,5.15,-0.15,35750.73,35956.55,-205.82
2024-03,UK,International,Operations,11,10.92,0.08,79824.76,81905.5,-2080.74
2024-03,UK,International,Sales,8,8.21,-0.21,56336.7,59390.25,-3053.55
2024-03,UK,International,Technology,7,7.05,-0.05,57573.8,59117.83,-1544.03
2024-03,UK,West,G&A,5,5.21,-0.21,37792.05,38460.84,-668.79
2024-03,UK,West,Marketing,8,8.53,-0.53,62690.82,67877.74,-5186.92
2024-03,UK,West,Operations,16,17.09,-1.09,115333.78,113143.49,2190.29
2024-03,UK,West,Sales,13,14.38,-1.38,81461.93,82202.7,-740.77
2024-03,UK,West,Technology,10,10.32,-0.32,70461.81,77914.68,-7452.87
2024-03,USA,Central,G&A,7,7.11,-0.11,36165.87,37612.1,-1446.23
2024-03,USA,Central,Marketing,10,10.22,-0.22,75864.16,77925.62,-2061.46
2024-03,USA,Central,Operations,22,23.42,-1.42,120411.93,125519.57,-5107.64
2024-03,USA,Central,Sales,17,16.94,0.06,103597.14,109550.9,-5953.76
2024-03,USA,Central,Technology,14,14.02,-0.02,90486.59,92055.02,-1568.43
2024-03,USA,East,G&A,7,7.37,-0.37,58669.06,59208.11,-539.05
2024-03,USA,East,Marketing,10,10.2,-0.2,70692.94,76003.89,-5310.95
2024-03,USA,East,Operations,21,21.21,-0.21,183300.87,185129.88,-1829.01
2024-03,USA,East,Sales,16,15.7,0.3,123793.83,133845.4,-10051.57
2024-03,USA,East,Technology,14,14.42,-0.42,107434.5,113790.04,-6355.54
2024-03,USA,International,G&A,6,6.24,-0.24,46567.44,48576.05,-2008.61
2024-03,USA,International,Marketing,8,8.29,-0.29,62547.41,60307.11,2240.3
2024-03,USA,International,Operations,18,18.91,-0.91,141767.67,146084.25,-4316.58
2024-03,USA,International,Sales,14,14.96,-0.96,109447.24,117785.35,-8338.11
2024-03,USA,International,Technology,11,11.51,-0.51,67605.44,69759.33,-2153.89
2024-03,USA,West,G&A,8,8.48,-0.48,56502.88,58676.99,-2174.11
2024-03,USA,West,Marketing,12,12.49,-0.49,75254.42,76333.81,-1079.39
2024-03,USA,West,Operations,25,25.84,-0.84,216166.6,230737.42,-14570.82
2024-03,USA,West,Sales,20,20.66,-0.66,156966.43,171070.87,-14104.44
2024-03,USA,West,Technology,17,15.84,1.16,127430.13,131198.18,-3768.05
2024-04,Canada,Central,G&A,5,5.57,-0.57,41075.66,42478.72,-1403.06
2024-04,Canada,Central,Marketing,8,8.79,-0.79,44312.95,47291.69,-2978.74
2024-04,Canada,Central,Operations,16,16.02,-0.02,117970.11,127102.11,-9132.0
2024-04,Canada,Central,Sales,13,13.59,-0.59,97367.64,95970.03,1397.61
2024-04,Canada,Central,Technology,11,11.44,-0.44,62302.06,62876.04,-573.98
2024-04,Canada,East,G&A,5,5.09,-0.09,38247.37,40102.03,-1854.66
2024-04,Canada,East,Marketing,7,7.38,-0.38,62348.61,64398.35,-2049.74
2024-04,Canada,East,Operations,15,16.75,-1.75,94263.87,99449.02,-5185.15
2024-04,Canada,East,Sales,11,11.09,-0.09,62609.18,64706.26,-2097.08
2024-04,Canada,East,Technology,10,10.39,-0.39,49017.32,49787.15,-769.83
2024-04,Canada,International,G&A,4,4.2,-0.2,29980.15,30470.47,-490.32
2024-04,Canada,International,Marketing,6,6.42,-0.42,39387.68,41033.03,-1645.35
2024-04,Canada,International,Operations,13,13.49,-0.49,81771.34,85558.48,-3787.14
2024-04,Canada,International,Sales,10,10.26,-0.26,75561.4,75886.02,-324.62
2024-04,Canada,International,Technology,8,7.85,0.15,51284.64,54258.01,-2973.37
2024-04,Canada,West,G&A,6,6.37,-0.37,45113.8,45270.24,-156.44
2024-04,Canada,West,Marketing,8,8.2,-0.2,55044.57,55325.65,-281.08
2024-04,Canada,West,Operations,20,20.64,-0.64,144994.15,149874.01,-4879.86
2024-04,Canada,West,Sales,14,15.02,-1.02,102904.74,106786.35,-3881.61
2024-04,Canada,West,Technology,12,11.39,0.61,75296.87,77585.79,-2288.92
2024-04,UK,Central,G&A,4,4.01,-0.01,24915.02,26111.72,-1196.7
2024-04,UK,Central,Marketing,6,6.15,-0.15,38695.35,40577.41,-1882.06
2024-04,UK,Central,Operations,14,14.32,-0.32,106390.31,99798.99,6591.32
2024-04,UK,Central,Sales,10,10.29,-0.29,70198.79,74258.6,-4059.81
2024-04,UK,Central,Technology,9,9.74,-0.74,62363.23,65224.14,-2860.91
2024-04,UK,East,G&A,4,4.23,-0.23,31221.41,32721.1,-1499.69
2024-04,UK,East,Marketing,6,5.99,0.01,45685.77,46358.2,-672.43
2024-04,UK,East,Operations,14,14.17,-0.17,103240.06,111133.66,-7893.6
2024-04,UK,East,Sales,10,9.8,0.2,73861.35,73391.21,470.14
2024-04,UK,East,Technology,8,8.52,-0.52,54772.74,54937.11,-164.37
2024-04,UK,International,G&A,3,3.26,-0.26,21524.06,21912.37,-388.31
2024-04,UK,International,Marketing,5,5.11,-0.11,31580.58,31401.11,179.47
2024-04,UK,International,Operations,11,11.32,-0.32,85781.15,90499.95,-4718.8
2024-04,UK,International,Sales,8,7.72,0.28,59692.18,62977.83,-3285.65
2024-04,UK,International,Technology,7,6.95,0.05,44797.71,47088.77,-2291.06
2024-04,UK,West,G&A,5,5.07,-0.07,42949.5,44574.73,-1625.23
2024-04,UK,West,Marketing,7,7.25,-0.25,60413.52,57515.88,2897.64
2024-04,UK,West,Operations,16,16.88,-0.88,116422.39,122203.37,-5780.98
2024-04,UK,West,Sales,12,12.77,-0.77,85160.28,93160.95,-8000.67
2024-04,UK,West,Technology,10,10.76,-0.76,80950.66,82285.16,-1334.5
2024-04,USA,Central,G&A,7,7.38,-0.38,45050.42,46556.91,-1506.49
2024-04,USA,Central,Marketing,10,10.21,-0.21,74518.31,78540.15,-4021.84
2024-04,USA,Central,Operations,22,22.23,-0.23,184897.34,181151.51,3745.83
2024-04,USA,Central,Sales,16,16.1,-0.1,125702.93,133197.4,-7494.47
2024-04,USA,Central,Technology,14,14.23,-0.23,107641.61,107401.96,239.65
2024-04,USA,East,G&A,7,7.39,-0.39,45333.93,45773.66,-439.73
2024-04,USA,East,Marketing,9,9.53,-0.53,67059.28,69575.38,-2516.1
2024-04,USA,East,Operations,20,19.84,0.16,159781.68,162434.3,-2652.62
2024-04,USA,East,Sales,17,18.14,-1.14,119941.83,117706.13,2235.7
2024-04,USA,East,Technology,13,13.86,-0.86,90744.08,91507.55,-763.47
2024-04,USA,International,G&A,6,6.32,-0.32,52903.89,54838.64,-1934.75
2024-04,USA,International,Marketing,8,8.31,-0.31,56308.84,56943.49,-634.65
2024-04,USA,International,Operations,17,17.37,-0.37,110924.42,108220.5,2703.92
2024-04,USA,International,Sales,13,13.88,-0.88,91167.43,94998.18,-3830.75
2024-04,USA,International,Technology,11,11.01,-0.01,75039.39,75670.34,-630.95
2024-04,USA,West,G&A,8,8.27,-0.27,46874.81,49154.8,-2279.99
2024-04,USA,West,Marketing,11,11.63,-0.63,66998.7,69794.96,-2796.26
2024-04,USA,West,Operations,26,26.49,-0.49,177892.88,186701.14,-8808.26
2024-04,USA,West,Sales,20,20.02,-0.02,156385.94,167581.94,-11196.0
2024-04,USA,West,Technology,15,15.93,-0.93,115348.36,115514.2,-165.84
2024-05,Canada,Central,G&A,5,5.2,-0.2,35578.7,37632.92,-2054.22
2024-05,Canada,Central,Marketing,7,7.16,-0.16,56145.75,58190.57,-2044.82
2024-05,Canada,Central,Operations,17,17.81,-0.81,112559.74,114827.09,-2267.35
2024-05,Canada,Central,Sales,13,13.8,-0.8,96103.97,98514.18,-2410.21
2024-05,Canada,Central,Technology,11,10.85,0.15,82815.09,86127.71,-3312.62
2024-05,Canada,East,G&A,5,5.02,-0.02,36078.36,37898.13,-1819.77
2024-05,Canada,East,Marketing,7,7.38,-0.38,51572.82,56666.48,-5093.66
2024-05,Canada,East,Operations,15,15.29,-0.29,105491.62,111378.28,-5886.66
2024-05,Canada,East,Sales,12,12.67,-0.67,95884.71,100124.58,-4239.87
2024-05,Canada,East,Technology,10,10.38,-0.38,64142.53,65581.79,-1439.26
2024-05,Canada,International,G&A,4,4.11,-0.11,25662.56,26082.49,-419.93
2024-05,Canada,International,Marketing,6,6.11,-0.11,47787.06,48925.0,-1137.94
2024-05,Canada,International,Operations,13,13.98,-0.98,82968.77,85662.83,-2694.06
2024-05,Canada,International,Sales,9,9.55,-0.55,57880.09,62129.99,-4249.9
2024-05,Canada,International,Technology,8,8.04,-0.04,67294.66,66572.24,722.42
2024-05,Canada,West,G&A,6,6.25,-0.25,40615.04,43965.92,-3350.88
2024-05,Canada,West,Marketing,8,7.83,0.17,57436.72,58983.95,-1547.23
2024-05,Canada,West,Operations,18,18.58,-0.58,130061.2,134766.05,-4704.85
2024-05,Canada,West,Sales,15,14.96,0.04,109776.81,108270.17,1506.64
2024-05,Canada,West,Technology,13,13.27,-0.27,100172.02,102016.9,-1844.88
2024-05,UK,Central,G&A,5,5.19,-0.19,43307.38,42824.15,483.23
2024-05,UK,Central,Marketing,6,6.55,-0.55,48518.73,47029.95,1488.78
2024-05,UK,Central,Operations,15,16.01,-1.01,100030.12,109400.92,-9370.8
2024-05,UK,Central,Sales,11,11.8,-0.8,79640.57,81675.98,-2035.41
2024-05,UK,Central,Technology,9,9.12,-0.12,54386.92,54359.39,27.53
2024-05,UK,East,G&A,4,4.25,-0.25,26874.9,26293.58,581.32
2024-05,UK,East,Marketing,6,6.13,-0.13,47440.38,50757.75,-3317.37
2024-05,UK,East,Operations,14,14.06,-0.06,97346.2,101343.04,-3996.84
2024-05,UK,East,Sales,10,10.76,-0.76,73722.26,76524.43,-2802.17
2024-05,UK,East,Technology,8,8.18,-0.18,72833.55,77504.3,-4670.75
2024-05,UK,International,G&A,4,4.1,-0.1,27319.39,29737.18,-2417.79
2024-05,UK,International,Marketing,5,5.09,-0.09,40641.37,41976.18,-1334.81
2024-05,UK,International,Operations,11,10.63,0.37,69474.08,70735.04,-1260.96
2024-05,UK,International,Sales,9,8.67,0.33,73097.25,74548.38,-1451.13
2024-05,UK,International,Technology,7,7.09,-0.09,51627.08,55562.97,-3935.89
2024-05,UK,West,G&A,5,5.02,-0.02,42156.85,43879.07,-1722.22
2024-05,UK,West,Marketing,7,7.29,-0.29,52386.85,53073.33,-686.48
2024-05,UK,West,Operations,16,16.8,-0.8,103948.45,100782.04,3166.41
2024-05,UK,West,Sales,13,13.39,-0.39,106854.25,111861.87,-5007.62
2024-05,UK,West,Technology,10,10.14,-0.14,55426.55,57454.26,-2027.71
2024-05,USA,Central,G&A,7,7.1,-0.1,44315.01,45371.56,-1056.55
2024-05,USA,Central,Marketing,10,10.01,-0.01,75709.03,81372.26,-5663.23
2024-05,USA,Central,Operations,21,21.55,-0.55,164340.59,169638.73,-5298.14
2024-05,USA,Central,Sales,17,17.78,-0.78,115806.56,115438.21,368.35
2024-05,USA,Central,Technology,15,16.07,-1.07,122456.58,125417.55,-2960.97
2024-05,USA,East,G&A,7,7.08,-0.08,59787.9,61812.07,-2024.17
2024-05,USA,East,Marketing,10,10.53,-0.53,53305.56,54496.64,-1191.08
2024-05,USA,East,Operations,22,23.44,-1.44,138616.1,144721.36,-6105.26
2024-05,USA,East,Sales,16,15.83,0.17,119301.69,129318.72,-10017.03
2024-05,USA,East,Technology,14,14.81,-0.81,117076.02,115532.58,1543.44
2024-05,USA,International,G&A,6,6.01,-0.01,43902.82,44048.22,-145.4
2024-05,USA,International,Marketing,8,8.41,-0.41,46518.8,50414.22,-3895.42
